customer_id,timestamp,risk_level,risk_score,txn_count_7d,salary_credits_30d,withdrawals_7d,total_spend_30d,essential_spend_ratio,discretionary_spend_ratio,days_since_salary,hardship_type,account_balance,emi_amount,previous_defaults,loan_from_other_banks
1,2026-02-18 09:14:39,UNKNOWN,0,1,0,0,500.0,1.0,0.0,-1,NONE,71283.0,19694.0,0,0
42,2026-02-18 09:37:04,MEDIUM,3,3,0,0,750.0,1.0,0.0,-1,INCOME_SHOCK,45886.0,6017.0,0,0
42,2026-02-18 09:39:18,HIGH,7,4,0,0,950.0,0.7895,0.2105,-1,INCOME_SHOCK,45886.0,6017.0,0,0
1289,2026-02-18 09:39:43,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,72054.0,4565.0,0,0
4226,2026-02-18 09:39:45,MEDIUM,3,8,0,3,37557.0,0.0,1.0,-1,INCOME_SHOCK,37989.0,12519.0,0,0
3472,2026-02-18 09:39:46,MEDIUM,3,7,0,4,7165.0,0.0,1.0,-1,INCOME_SHOCK,80569.0,3215.0,0,0
4403,2026-02-18 09:39:48,MEDIUM,3,7,0,4,1740.0,0.0,1.0,-1,INCOME_SHOCK,24602.0,9215.0,0,0
657,2026-02-18 09:39:49,MEDIUM,3,7,4,0,0.0,0.0,0.0,0,INCOME_SHOCK,60332.0,4362.0,0,0
1804,2026-02-18 09:39:50,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,37983.0,16758.0,0,0
2184,2026-02-18 09:39:51,UNKNOWN,0,4,0,4,11212.0,0.0,1.0,-1,NONE,22835.0,10860.0,0,0
3682,2026-02-18 09:39:53,MEDIUM,3,7,0,0,14792.0,1.0,0.0,-1,INCOME_SHOCK,22089.0,2125.0,0,0
1849,2026-02-18 09:39:54,HIGH,7,7,0,0,53174.0,0.1608,0.8392,-1,INCOME_SHOCK,49850.0,11156.0,0,0
728,2026-02-18 09:39:55,MEDIUM,3,5,0,0,15028.0,0.0,1.0,-1,INCOME_SHOCK,51579.0,25132.0,0,0
2290,2026-02-18 09:39:57,MEDIUM,3,10,0,0,17655.0,0.0,1.0,-1,INCOME_SHOCK,56116.0,17852.0,0,0
2792,2026-02-18 09:39:58,MEDIUM,3,5,0,0,37987.0,0.0,1.0,-1,INCOME_SHOCK,14495.0,8851.0,0,0
841,2026-02-18 09:40:00,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,53810.0,38541.0,0,0
679,2026-02-18 09:40:01,MEDIUM,3,7,0,3,0.0,0.0,0.0,-1,INCOME_SHOCK,11152.0,34262.0,0,0
477,2026-02-18 09:40:02,UNKNOWN,0,2,0,0,11644.0,0.0,1.0,-1,NONE,46698.0,5900.0,0,0
4204,2026-02-18 09:40:02,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,67586.0,12036.0,0,0
4456,2026-02-18 09:40:04,MEDIUM,3,5,0,0,9888.0,0.0,1.0,-1,INCOME_SHOCK,31086.0,40522.0,0,0
1666,2026-02-18 09:40:06,LOW,0,5,1,0,5184.0,0.0,1.0,0,NONE,76421.0,6767.0,0,0
4688,2026-02-18 09:40:06,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,17315.0,6601.0,0,0
3716,2026-02-18 09:40:08,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,26867.0,8840.0,0,0
3363,2026-02-18 09:40:10,MEDIUM,3,6,0,0,6960.0,1.0,0.0,-1,INCOME_SHOCK,59663.0,2462.0,0,0
3816,2026-02-18 09:40:11,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,62011.0,11427.0,0,0
3171,2026-02-18 09:40:12,MEDIUM,3,12,0,0,20796.0,0.7552,0.2448,-1,INCOME_SHOCK,26800.0,13648.0,0,0
4776,2026-02-18 09:40:14,MEDIUM,3,14,0,0,189640.0,0.0019,0.9981,-1,INCOME_SHOCK,17956.0,30298.0,0,0
3659,2026-02-18 09:40:16,UNKNOWN,0,4,0,0,15512.0,0.0,1.0,-1,NONE,41071.0,21306.0,0,0
4437,2026-02-18 09:40:17,MEDIUM,3,10,0,3,32774.0,0.0,1.0,-1,INCOME_SHOCK,20121.0,5847.0,0,0
2365,2026-02-18 09:40:18,MEDIUM,3,8,0,0,4978.0,0.2491,0.7509,-1,INCOME_SHOCK,8260.0,12576.0,0,0
136,2026-02-18 09:40:20,UNKNOWN,0,4,0,4,8040.0,0.0,1.0,-1,NONE,32388.0,30899.0,0,0
399,2026-02-18 09:40:21,MEDIUM,5,6,0,0,22741.0,0.5186,0.4814,-1,INCOME_SHOCK,11027.0,18050.0,0,0
1573,2026-02-18 09:40:22,MEDIUM,3,8,0,4,0.0,0.0,0.0,-1,INCOME_SHOCK,61348.0,10248.0,0,0
201,2026-02-18 09:40:24,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,35337.0,14862.0,0,0
4609,2026-02-18 09:40:25,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,18628.0,4878.0,0,0
3172,2026-02-18 09:40:26,HIGH,7,10,0,4,9972.0,1.0,0.0,-1,INCOME_SHOCK,72308.0,7439.0,0,0
3604,2026-02-18 09:40:27,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,9593.0,3232.0,0,0
3432,2026-02-18 09:40:29,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,18047.0,7133.0,0,0
2492,2026-02-18 09:40:30,MEDIUM,3,7,0,0,360.0,0.0,1.0,-1,INCOME_SHOCK,85397.0,6883.0,0,0
2012,2026-02-18 09:40:31,MEDIUM,3,5,0,0,3464.0,0.0,1.0,-1,INCOME_SHOCK,28164.0,4052.0,0,0
